category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	fdr
GO:0042600	4.2674493634917316e-38	1.0	35	39	egg chorion	CC	3.715668160792251e-34
GO:0055085	2.3319982804244538e-22	1.0	71	257			1.015235451382786e-18
GO:0022857	2.1031150763856423e-14	1.0	43	153	transmembrane transporter activity	MF	6.10394099002993e-11
GO:0006749	7.589391270291532e-13	1.0	19	42	glutathione metabolic process	BP	1.6520207447607092e-09
GO:0007304	1.2445133624409901e-12	1.0	17	30	chorion-containing eggshell formation	BP	2.1671955693547404e-09
GO:0004364	1.9741282441140784e-12	1.0	18	40	glutathione transferase activity	MF	2.864789103583547e-09
GO:0007305	2.188188145113025e-10	0.9999999999961158	10	13	vitelline membrane formation involved in chorion-containing eggshell formation	BP	2.7217934542141583e-07
GO:0005615	1.08147988068278e-09	1.0	85	692			1.1770556651381207e-06
GO:0005576	6.988074776221225e-09	1.0	62	471	extracellular region	CC	6.7605741196175784e-06
GO:0007306	2.227798485017521e-08	0.9999999993395321	9	13	eggshell chorion assembly	BP	1.9397441409047556e-05
GO:0060388	2.2414124494775965e-07	0.9999999980967275	6	7	vitelline envelope	CC	0.00017741798361455848
GO:0043190	5.629260195668543e-07	0.9999999882440174	7	9	ATP-binding cassette (ABC) transporter complex	CC	0.0004084497376973834
GO:0030198	1.486894222005281e-06	0.9999998231667077	12	31	extracellular matrix organization	BP	0.0009958759993076909
GO:0005886	4.9595572560718986e-06	0.9999970950447621	137	1264	plasma membrane	CC	0.0030844903591870014
GO:0008084	1.5171868332603667e-05	0.9999997927362718	5	6			0.008066854152450266
GO:0005213	1.5173389094546371e-05	1.0	4	4	structural constituent of egg chorion	MF	0.008066854152450266
GO:0035080	1.5750145927604747e-05	0.999999437294067	6	9	heat shock-mediated polytene chromosome puffing	BP	0.008066854152450266
GO:0034620	1.7064550641178363e-05	0.9999985935730479	8	17	cellular response to unfolded protein	BP	0.008254502357374445
GO:0016020	2.6242266611876565e-05	0.9999839445265654	117	1084	membrane	CC	0.012025863967874171
GO:0160035	3.291439398630466e-05	1.0	4	4			0.014329281421937734
GO:0003333	3.595720131500579e-05	0.9999942530864457	11	35	amino acid transmembrane transport	BP	0.014908540564274066
GO:0050660	4.3323542853913214e-05	0.9999906176668645	14	55	flavin adenine dinucleotide binding	MF	0.017146276710410108
GO:0140359	4.763110583019642e-05	0.9999912450048691	12	41	ABC-type transporter activity	MF	0.018031479933196533
GO:0033540	5.423695415291679e-05	0.9999984925536535	5	7	fatty acid beta-oxidation using acyl-CoA oxidase	BP	0.019676714992060272
GO:0001666	8.276489648329738e-05	0.9999868466584834	10	32	response to hypoxia	BP	0.02882535814720281
GO:0007498	0.00014218299007074455	0.9999648186269804	14	62	mesoderm development	BP	0.04761489594407587
GO:0008316	0.0001486118402132583	1.0	3	3	structural constituent of vitelline membrane	MF	0.04792456639766074
GO:0052650	0.00016061179512466683	0.9999921764187335	5	9	NADP-retinol dehydrogenase activity	MF	0.04994453214823122
