gene_id	baseMn	l2fc	lfcSE	pval	padj
A1BG	3.40E+01	0.02	0.22	9.29E-01	1.00E+00
A2ML1	6.68E-01	0.37	1.61	8.16E-01	1.00E+00
A4GALT	9.66E+00	0.52	0.43	2.29E-01	1.00E+00
AAAS	1.45E+02	0.05	0.13	7.10E-01	1.00E+00
AADAT	5.85E+01	0.02	0.17	9.27E-01	1.00E+00
AAGAB	9.51E+02	0.05	0.09	5.88E-01	1.00E+00
AAK1	1.07E+03	0.02	0.1	8.77E-01	1.00E+00
AARD	5.59E+00	0.19	0.46	6.89E-01	1.00E+00
AASDHPPT	4.23E+02	0.15	0.12	2.29E-01	1.00E+00
AASS	1.93E+02	0.1	0.16	5.33E-01	1.00E+00
AATK	3.31E+01	0.03	0.21	8.89E-01	1.00E+00
ABAT	1.16E+01	0.42	0.37	2.52E-01	1.00E+00
ABCA1	3.56E+02	0.01	0.14	9.26E-01	1.00E+00
ABCA10	2.59E+01	0.07	0.22	7.36E-01	1.00E+00
ABCA3	1.86E+02	0.1	0.12	4.13E-01	1.00E+00
ABCA4	6.48E+01	0.27	0.15	6.79E-02	1.00E+00
ABCA5	1.59E+02	0.21	0.1	4.67E-02	1.00E+00
ABCA6	3.68E+00	0.86	0.62	1.69E-01	1.00E+00
ABCA8	4.34E-01	0.52	1.99	7.95E-01	1.00E+00
ABCB1	3.13E+00	0.1	0.75	8.90E-01	1.00E+00
ABCB10	3.22E+02	0.09	0.09	3.25E-01	1.00E+00
ABCB11	3.98E-01	0.79	1.71	6.46E-01	1.00E+00
ABCB6	6.69E+01	0.05	0.16	7.68E-01	1.00E+00
ABCB8	4.31E+01	0.27	0.25	2.96E-01	1.00E+00
ABCC1	3.33E+02	0.05	0.09	5.60E-01	1.00E+00
ABCC11	1.03E+00	0.34	1.21	7.82E-01	1.00E+00
ABCC4	1.71E+02	0.18	0.19	3.57E-01	1.00E+00
ABCC6	3.27E+00	0.01	1.39	9.92E-01	1.00E+00
ABCC9	2.69E+01	0.52	0.29	7.20E-02	1.00E+00
ABCD3	3.57E+02	0.1	0.09	2.50E-01	1.00E+00
ABCE1	1.64E+03	0.02	0.07	7.43E-01	1.00E+00
ABCG1	5.18E+01	0.11	0.22	6.10E-01	1.00E+00
ABHD1	5.32E-01	2.66	2.01	1.85E-01	1.00E+00
ABHD10	2.64E+02	0.11	0.11	3.10E-01	1.00E+00
ABHD11	1.37E+01	0.09	0.34	7.82E-01	1.00E+00
ABHD13	3.10E+02	0.02	0.1	8.75E-01	1.00E+00
ABHD14A-ACY1	4.31E+00	2.59	2.56	3.11E-01	1.00E+00
ABHD14B	4.36E+01	0.16	0.2	4.15E-01	1.00E+00
ABHD16B	4.46E+00	0.1	0.61	8.74E-01	1.00E+00
ABHD17B	1.44E+02	0.07	0.11	5.27E-01	1.00E+00
ABHD17C	1.47E+02	0.11	0.17	5.23E-01	1.00E+00
ABHD2	3.83E+02	0.03	0.1	7.24E-01	1.00E+00
ABHD3	2.61E+01	0.04	0.28	8.81E-01	1.00E+00
ABHD5	1.18E+02	0.04	0.12	7.42E-01	1.00E+00
ABHD6	1.07E+02	0.06	0.14	6.58E-01	1.00E+00
ABHD8	9.85E+00	0.08	0.42	8.47E-01	1.00E+00
ABI2	1.18E+03	0.07	0.09	4.21E-01	1.00E+00
ABI3BP	6.29E-01	0.78	1.47	5.97E-01	1.00E+00
ABL2	1.53E+03	0.08	0.1	4.20E-01	1.00E+00
ABLIM1	1.25E+03	0.08	0.11	4.84E-01	1.00E+00
ABLIM2	3.70E+00	1.14	0.71	1.08E-01	1.00E+00
ABRACL	3.12E+03	0.11	0.11	3.00E-01	1.00E+00
ABRAXAS1	1.12E+02	0.13	0.13	3.28E-01	1.00E+00
ABTB1	8.46E+00	0.21	0.37	5.68E-01	1.00E+00
ABTB2	2.42E+02	0.1	0.25	6.98E-01	1.00E+00
ACACB	1.43E+01	0.07	0.31	8.32E-01	1.00E+00
ACAD10	4.63E+01	0.01	0.16	9.31E-01	1.00E+00
ACAD11	6.69E+01	0.2	0.16	2.05E-01	1.00E+00
ACAD8	1.12E+02	0.01	0.15	9.61E-01	1.00E+00
ACAD9	1.93E+02	0.05	0.1	6.13E-01	1.00E+00
ACADM	6.58E+02	0.01	0.08	9.36E-01	1.00E+00
ACAN	1.46E+00	0.35	1.06	7.38E-01	1.00E+00
