category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	fdr
GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE	7.924544584501662e-05	0.999999753916441	2	7	0.5395965311985332
GO_FUCOSE_CATABOLIC_PROCESS	0.00018284478877227575	0.9999990760851076	2	9	0.5395965311985332
GO_POSITIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	0.0002212571545584055	0.9999987201934297	2	11	0.5395965311985332
GO_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE	0.00028663826358487824	0.9999980843616944	2	12	0.5395965311985332
GO_SEQUESTERING_OF_TRIGLYCERIDE	0.0004518344243748902	0.99999608615418	2	15	0.5613140069384962
GO_FUCOSE_METABOLIC_PROCESS	0.000564848160924821	0.9999944837135137	2	16	0.5613140069384962
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	0.0006557496271437839	0.9999930116189559	2	18	0.5613140069384962
GO_POSITIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	0.0006985054368643972	0.9999922762792751	2	19	0.5613140069384962
GO_FUCOSYLATION	0.0008706227447778935	0.9999891909830146	2	20	0.5613140069384962
GO_LIPID_DROPLET_ORGANIZATION	0.000880057306917805	0.9999889702476608	2	21	0.5613140069384962
GO_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	0.000897812946404838	0.9999886334019216	2	21	0.5613140069384962
GO_NEGATIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.0009838872103801297	0.9999868629350128	2	23	0.5613140069384962
GO_DORSAL_VENTRAL_PATTERN_FORMATION	0.0010244335390190277	0.999955074231776	3	92	0.5613140069384962
GO_POSITIVE_REGULATION_OF_LIPID_STORAGE	0.0010436116994872438	0.9999856433534685	2	23	0.5613140069384962
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_RENIN_ANGIOTENSIN	0.0012419743435144925	0.9999812325568137	2	25	0.5979494623892659
GO_INTERLEUKIN_1_PRODUCTION	0.0013122784202452124	0.9999369968119471	3	115	0.5979494623892659
GO_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	0.0013499523055268952	0.9999786664200898	2	26	0.5979494623892659
GO_T_HELPER_17_TYPE_IMMUNE_RESPONSE	0.0017156658950502467	0.9999691793672979	2	29	0.7177202327626865
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	0.003118067860083627	0.9999229792228581	2	39	1.0
GO_T_HELPER_1_TYPE_IMMUNE_RESPONSE	0.0035559925161908167	0.9999057855257026	2	42	1.0
